0:0:0:0:0:0:0:1 - - [05/Jun/2018:20:02:28 +0900] "GET /theater/category/list_user.jsp HTTP/1.1" 200 2873
0:0:0:0:0:0:0:1 - - [05/Jun/2018:20:02:29 +0900] "GET /theater/login_logout/registration.jsp HTTP/1.1" 200 3043
0:0:0:0:0:0:0:1 - - [05/Jun/2018:20:02:33 +0900] "GET /theater/category/list_user.jsp HTTP/1.1" 200 2873
0:0:0:0:0:0:0:1 - - [05/Jun/2018:20:02:34 +0900] "GET /theater/category/list_user.jsp HTTP/1.1" 200 2873
0:0:0:0:0:0:0:1 - - [05/Jun/2018:20:03:57 +0900] "GET /theater/login_logout/login.jsp HTTP/1.1" 200 1405
0:0:0:0:0:0:0:1 - - [05/Jun/2018:20:06:59 +0900] "GET /theater/login_logout/login.jsp HTTP/1.1" 200 1405
0:0:0:0:0:0:0:1 - - [05/Jun/2018:20:07:01 +0900] "GET /theater/login_logout/registration.jsp HTTP/1.1" 200 3043
0:0:0:0:0:0:0:1 - - [05/Jun/2018:20:18:19 +0900] "GET /theater/home.jsp HTTP/1.1" 200 1284
0:0:0:0:0:0:0:1 - - [05/Jun/2018:20:18:19 +0900] "GET /theater/image/feedbapLogo.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Jun/2018:20:18:19 +0900] "GET /theater/category/list_user.jsp HTTP/1.1" 200 2873
0:0:0:0:0:0:0:1 - - [05/Jun/2018:20:18:24 +0900] "GET /theater/login_logout/login.jsp HTTP/1.1" 200 1405
0:0:0:0:0:0:0:1 - - [05/Jun/2018:20:32:18 +0900] "GET /theater/home.jsp HTTP/1.1" 200 1599
0:0:0:0:0:0:0:1 - - [05/Jun/2018:20:32:18 +0900] "GET /theater/image/feedbapLogo.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Jun/2018:20:32:18 +0900] "GET /theater/category/list_user.jsp HTTP/1.1" 200 2873
0:0:0:0:0:0:0:1 - - [05/Jun/2018:20:33:01 +0900] "GET /theater/category/list_user.jsp HTTP/1.1" 200 2873
0:0:0:0:0:0:0:1 - - [05/Jun/2018:20:33:02 +0900] "GET /theater/login_logout/registration.jsp HTTP/1.1" 200 3043
0:0:0:0:0:0:0:1 - - [05/Jun/2018:20:33:03 +0900] "GET /theater/login_logout/login.jsp HTTP/1.1" 200 1405
0:0:0:0:0:0:0:1 - - [05/Jun/2018:20:33:32 +0900] "GET /theater/home.jsp HTTP/1.1" 200 1656
0:0:0:0:0:0:0:1 - - [05/Jun/2018:20:33:32 +0900] "GET /theater/category/list_user.jsp HTTP/1.1" 200 2873
0:0:0:0:0:0:0:1 - - [05/Jun/2018:20:33:33 +0900] "GET /theater/login_logout/login.jsp HTTP/1.1" 200 1405
0:0:0:0:0:0:0:1 - - [05/Jun/2018:20:33:36 +0900] "GET /theater/login_logout/registration.jsp HTTP/1.1" 200 3043
0:0:0:0:0:0:0:1 - - [05/Jun/2018:20:33:37 +0900] "GET /theater/login_logout/login.jsp HTTP/1.1" 200 1405
0:0:0:0:0:0:0:1 - - [05/Jun/2018:20:33:41 +0900] "GET /theater/category/list_user.jsp HTTP/1.1" 200 2873
0:0:0:0:0:0:0:1 - - [05/Jun/2018:20:34:34 +0900] "GET /theater/home.jsp HTTP/1.1" 200 1656
0:0:0:0:0:0:0:1 - - [05/Jun/2018:20:34:34 +0900] "GET /theater/category/list_user.jsp HTTP/1.1" 200 2873
0:0:0:0:0:0:0:1 - - [05/Jun/2018:20:34:49 +0900] "GET /theater/home.jsp HTTP/1.1" 200 1656
0:0:0:0:0:0:0:1 - - [05/Jun/2018:20:34:49 +0900] "GET /theater/category/list_user.jsp HTTP/1.1" 200 2873
0:0:0:0:0:0:0:1 - - [05/Jun/2018:20:34:52 +0900] "GET /theater/home.jsp HTTP/1.1" 200 1656
0:0:0:0:0:0:0:1 - - [05/Jun/2018:20:34:52 +0900] "GET /theater/category/list_user.jsp HTTP/1.1" 200 2873
0:0:0:0:0:0:0:1 - - [05/Jun/2018:20:44:39 +0900] "GET /theater/home.jsp HTTP/1.1" 200 1656
0:0:0:0:0:0:0:1 - - [05/Jun/2018:20:44:39 +0900] "GET /theater/image/feedbapLogo.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Jun/2018:20:44:39 +0900] "GET /theater/category/list_user.jsp HTTP/1.1" 200 767
0:0:0:0:0:0:0:1 - - [05/Jun/2018:20:44:39 +0900] "GET /theater/category/image/home.jpg HTTP/1.1" 404 1117
